ID_incidencia,Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?,año,mes
INC_0001,2025-10-02 11:00:00,Resuelto,En tránsito,Modificación,WPFI108958,Agencia 19,P-000,Baggage Assistance - IN,Medio,SI,2025,October
INC_0002,2025-10-08 11:00:00,Resuelto,En tránsito,Modificación,WPFI105991,Agencia 2,Sin Informacion,Trek Laguna Torre - Private guide,Medio,SI,2025,October
INC_0003,2025-10-13 16:00:00,En proceso,En tránsito,Modificación,WPFI106245,Agencia 2,P-030,Los Huemules Reserve,Medio,NO,2025,October
INC_0004,2025-10-18 11:07:00,En proceso,En tránsito,Cancelación,WPFI109132,Agencia 11,P-010,Trek Laguna de Los Tres SIB,Medio,SI,2025,October
INC_0005,2025-10-19 15:00:00,En proceso,En tránsito,Informativo,WPFI109113,Agencia 8,G-003,Trek Cóndores & Águilas viewpoints - Private guide,Medio,SI,2025,October
INC_0006,2025-10-22 12:00:00,En proceso,En tránsito,Cancelación,WPFI105345,Agencia 2,P-028,Bus Ticket - Calafate / Chaltén,Bajo,SI,2025,October
INC_0007,2025-10-23 11:00:00,En proceso,En tránsito,Cancelación,WPFI109319,Agencia 30,P-001,Transfer Bus Station/Hotel - Private,Medio,SI,2025,October
INC_0008,2025-10-23 17:00:00,Resuelto,En tránsito,Cancelación,WPFI109319,Agencia 30,P-010,Trek Laguna de Los Tres SIB,Medio,SI,2025,October
INC_0009,2025-10-24 11:20:00,Resuelto,En tránsito,Cancelación,WPFI103209,Agencia 2,P-031,Accommodation,Alto,NO,2025,October
INC_0010,2025-10-24 17:30:00,En proceso,En tránsito,Cancelación,WPFI108185,Agencia 32,P-001,Trek Laguna de Los Tres - Private guide & private transport,Medio,SI,2025,October
INC_0011,2025-10-25 14:00:00,En proceso,En tránsito,Modificación,WPFI108152,Agencia 23,P-001,Private transfer,Medio,SI,2025,October
INC_0011,2025-10-25 14:00:00,En proceso,En tránsito,Cancelación,WPFI108152,Agencia 23,P-028,Bus Ticket - Calafate / Chaltén,Medio,SI,2025,October
INC_0012,2025-10-27 14:00:00,Resuelto,En tránsito,Cancelación,WPFI108152,Agencia 23,P-001,Transfer Hotel/Bus Station - Private,Medio,SI,2025,October
INC_0012,2025-10-27 14:00:00,Resuelto,En tránsito,Cancelación,WPFI108152,Agencia 23,P-028,Bus Ticket - Chaltén / Calafate,Medio,SI,2025,October
INC_0013,2025-10-30 09:20:00,En proceso,En tránsito,Modificación,WPFI108019,Agencia 2,P-024,Classic Visit - Estancia,Medio,SI,2025,October
INC_0014,2025-11-02 08:00:00,En proceso,En tránsito,Queja,WPFI105752,Agencia 2,P-032,Box Lunch,Alto,NO,2025,November
INC_0015,2025-11-02 10:00:00,Resuelto,Post-viaje,Queja,WPFI108019,Agencia 2,P-016,Shuttle|El Chaltén / El Calafate Airport,Alto,NO,2025,November
INC_0016,2025-11-02 19:00:00,Resuelto,En tránsito,Cancelación,WPFI105992,Agencia 34,P-027,Kayak en Calafate,Medio,NO,2025,November
INC_0017,2025-11-07 07:42:00,Resuelto,En tránsito,Cancelación,WPFI107541,Agencia 2,P-010,Trek Laguna de Los Tres SIB,Medio,SI,2025,November
INC_0018,2025-11-08 07:42:00,En proceso,En tránsito,Cancelación,WPFI107541,Agencia 2,G-023,Trek Laguna Torre SIB,Medio,SI,2025,November
INC_0018,2025-11-08 07:42:00,En proceso,En tránsito,Modificación,WPFI107541,Agencia 2,G-001,Transfer El Chaltén/El Calafate - Private,Medio,SI,2025,November
INC_0019,2025-11-09 07:42:00,En proceso,En tránsito,Modificación,WPFI106991,Agencia 6,P-010,Trek Laguna de Los Tres SIB,Medio,SI,2025,November
INC_0020,2025-11-11 18:16:55,En proceso,En tránsito,Modificación,WPFI106312,Agencia 6,P-007,"Day Trip Lago del Desierto Trek & boat - Shared, self-guided",Medio,NO,2025,November
INC_0021,2025-11-11 18:29:34,En proceso,Post-viaje,Queja,WPFI109113,Agencia 8,G-003,Trek Laguna Torre - Private guide,Bajo,No Informado,2025,November
INC_0022,2025-11-11 19:56:21,En proceso,En tránsito,Informativo,WPFI107475,Agencia 2,Sin Informacion,Day Trip Lago del Desierto Trek & boat - Private,Medio,No Informado,2025,November
INC_0023,2025-11-12 14:37:15,Resuelto,En tránsito,Informativo,WPFI107280,Agencia 2,G-009,Sin Informacion,Bajo,No Informado,2025,November
INC_0024,,En proceso,En tránsito,Modificación,WPFI108406,Agencia 2,P-013,Kayak en Calafate,Medio,NO,,
INC_0024,,En proceso,En tránsito,Modificación,WPFI108406,Agencia 2,P-012,Kayak en Calafate,Medio,NO,,
INC_0025,2025-11-14 18:53:48,Resuelto,En tránsito,Cancelación,WPFI109561,Agencia 3,G-001,Trek Laguna de Los Tres SIB,Bajo,SI,2025,November
INC_0026,2025-11-17 11:06:07,Pendiente,En tránsito,Informativo,WPFI109335,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2025,November
INC_0027,2025-11-17 11:19:06,Pendiente,En tránsito,Cancelación,WPFI105372,Agencia 2,P-004,"Excursion Moreno Glacier, Boat Ride and Trek",Medio,NO,2025,November
INC_0028,2025-11-17 12:20:36,En proceso,En tránsito,Cancelación,WPFI106054,Agencia 2,P-004,"Excursion Moreno Glacier, Boat Ride and Trek",Medio,NO,2025,November
INC_0029,2025-11-17 12:27:23,En proceso,En tránsito,Cancelación,WPFI109771,Agencia 1,G-005,Trek Laguna Torre SIB,Medio,No Informado,2025,November
INC_0030,2025-11-17 12:35:40,En proceso,En tránsito,Cancelación,WPFI108013,Agencia 9,G-005,Trek Laguna Torre SIB,Medio,No Informado,2025,November
INC_0031,2025-11-17 12:41:23,En proceso,En tránsito,Cancelación,WPFI107082,Agencia 10,G-006,Trek Laguna Torre - Private guide,Medio,No Informado,2025,November
INC_0032,2025-11-17 12:50:42,En proceso,En tránsito,Cancelación,WPFI106170,Agencia 2,P-001,Transfer El Chaltén/El Calafate - Private,Alto,NO,2025,November
INC_0032,2025-11-17 12:50:42,En proceso,En tránsito,Modificación,WPFI106170,Agencia 2,P-016,Transfer El Chaltén/El Calafate - Private,Alto,NO,2025,November
INC_0032,2025-11-17 12:50:42,En proceso,En tránsito,Cancelación,WPFI106170,Agencia 2,G-011,Trek Laguna Torre - Private guide,Alto,NO,2025,November
INC_0033,2025-11-17 13:35:34,Resuelto,En tránsito,Modificación,WPFI108119,Agencia 11,P-011,Transfer El Chaltén/El Calafate - Private,Medio,No Informado,2025,November
INC_0034,2025-11-17 13:59:45,En proceso,En tránsito,Cancelación,WPFI104051,Agencia 4,P-001,Trek Laguna de Los Tres - Private guide & private transport,Medio,NO,2025,November
INC_0035,2025-11-17 14:10:14,En proceso,En tránsito,Modificación,WPFI109276,Agencia 3,G-010,Trek Laguna Torre - Private guide,Medio,No Informado,2025,November
INC_0036,2025-11-17 14:16:45,En proceso,En tránsito,Cancelación,WPFI107677,Agencia 2,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,NO,2025,November
INC_0037,2025-11-17 14:23:58,En proceso,En tránsito,Cancelación,WPFI109553,Agencia 13,G-004,Trek Mirador Torre - Private guide,Medio,No Informado,2025,November
INC_0038,2025-11-17 14:44:02,Resuelto,En tránsito,Cancelación,WPFI109398,Agencia 12,G-012,Trek Laguna Capri - Private guide,Medio,No Informado,2025,November
INC_0038,2025-11-17 14:44:02,Resuelto,En tránsito,Cancelación,WPFI109398,Agencia 12,P-009,Box Lunch,Medio,No Informado,2025,November
INC_0039,2025-11-17 14:47:36,En proceso,En tránsito,Cancelación,WPFI108853,Agencia 14,P-014,Day Trip Vespignani - Boat ride & shared transport,Medio,No Informado,2025,November
INC_0040,2025-11-18 22:23:12,Resuelto,En tránsito,Informativo,WPFI108397,Agencia 15,P-001,Sin Informacion,Bajo,No Informado,2025,November
INC_0041,2025-11-19 16:13:17,Resuelto,En tránsito,Cancelación,WPFI106782,Agencia 3,Sin Informacion,Sin Informacion,Bajo,No Informado,2025,November
INC_0042,2025-11-20 23:05:05,Pendiente,En tránsito,Cancelación,WPFI109225,Agencia 5,P-010,Trek Laguna de Los Tres SIB,Bajo,No Informado,2025,November
INC_0043,2025-11-23 16:46:15,Resuelto,En tránsito,Cancelación,WPFI108720,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2025,November
INC_0044,2025-11-24 20:02:24,Resuelto,En tránsito,Cancelación,WPFI108608,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2025,November
INC_0045,2025-11-25 18:42:14,Pendiente,Post-viaje,Informativo,WPFI107760,Agencia 11,Sin Informacion,Sin Informacion,Bajo,No Informado,2025,November
INC_0046,2025-11-25 19:19:55,En proceso,En tránsito,Modificación,WPFI109362,Agencia 11,P-010,Trek Laguna de Los Tres SIB,Medio,No Informado,2025,November
INC_0047,2025-11-26 12:48:33,En proceso,En tránsito,Modificación,WPFI108843,Agencia 5,P-010,Trek Laguna de Los Tres SIB,Bajo,No Informado,2025,November
INC_0048,2025-11-26 13:18:47,Resuelto,En tránsito,Modificación,WPFI105256,Agencia 2,P-001,Trek Laguna de Los Tres - Private guide & private transport,Bajo,SI,2025,November
INC_0049,2025-11-27 22:29:46,Pendiente,En tránsito,Cancelación,WPFI108113,Agencia 2,P-009,Box Lunch,Bajo,SI,2025,November
INC_0050,2025-11-30 10:44:00,Resuelto,En tránsito,Cancelación,WPFI107287,Agencia 2,P-010,Trek Laguna de Los Tres SIB,Bajo,SI,2025,November
