ID_incidencia,Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?
INC_0001,"Oct 2, 2025, 11:00:00 AM",Resuelto,En tránsito,Modificación,WPFI108958,Agencia 19,P-000,Baggage Assistance - IN,Medio,SI
INC_0002,"Oct 8, 2025, 11:00:00 AM",Resuelto,En tránsito,Modificación,WPFI105991,Agencia 2,,Trek Laguna Torre - Private guide,Medio,SI
INC_0003,"Oct 13, 2025, 4:00:00 PM",En proceso,En tránsito,Modificación,WPFI106245,Agencia 2,P-030,Los Huemules Reserve,Medio,NO
INC_0004,"Oct 18, 2025, 11:07:00 AM",En proceso,En tránsito,Cancelación,WPFI109132,Agencia 11,P-010,Trek Laguna de Los Tres SIB,Medio,SI
INC_0005,"Oct 19, 2025, 03:00:00 PM",En proceso,En tránsito,Informativo,WPFI109113,Agencia 8,G-003,Trek Cóndores & Águilas viewpoints - Private guide,Medio,SI
INC_0006,"Oct 22, 2025, 12:00:00 PM",En proceso,En tránsito,Cancelación,WPFI105345,Agencia 2,P-028,Bus Ticket - Calafate / Chaltén,Bajo,SI
INC_0007,"Oct 23, 2025, 11:00:00 AM",En proceso,En tránsito,Cancelación,WPFI109319,Agencia 30,P-001,Transfer Bus Station/Hotel - Private,Medio,SI
INC_0008,"Oct 23, 2025, 05:00:00 PM",Resuelto,En tránsito,Cancelación,WPFI109319,Agencia 30,P-010,Trek Laguna de Los Tres SIB,Medio,SI
INC_0009,"Oct 24, 2025, 11:20:00 AM",Resuelto,En tránsito,Cancelación,WPFI103209,Agencia 2,P-031,Accommodation,Alto,NO
INC_0010,"Oct 24, 2025, 05:30:00 PM",En proceso,En tránsito,Cancelación,WPFI108185,Agencia 32,P-001,Trek Laguna de Los Tres - Private guide & private transport,Medio,SI
INC_0011,"Oct 25, 2025, 02:00:00 PM",En proceso,En tránsito,Modificación,WPFI108152,Agencia 23,P-001,Private transfer,Medio,SI
INC_0011,"Oct 25, 2025, 02:00:00 PM",En proceso,En tránsito,Cancelación,WPFI108152,Agencia 23,P-028,Bus Ticket - Calafate / Chaltén,Medio,SI
INC_0012,"Oct 27, 2025, 02:00:00 PM",Resuelto,En tránsito,Cancelación,WPFI108152,Agencia 23,P-001,Transfer Hotel/Bus Station - Private,Medio,SI
INC_0012,"Oct 27, 2025, 02:00:00 PM",Resuelto,En tránsito,Cancelación,WPFI108152,Agencia 23,P-028,Bus Ticket - Chaltén / Calafate,Medio,SI
