Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?
"Nov 11, 2025, 6:16:55 PM",En proceso,En tránsito,Modificación,WPFI106312,Agencia 6,P-007,"Day Trip Lago del Desierto Trek & boat - Shared, self-guided",Medio,
"Nov 11, 2025, 6:29:34 PM",En proceso,Post-viaje,Queja,WPFI109113,Agencia 8,G-003,Trek Laguna Torre,Bajo,
"Nov 11, 2025, 7:56:21 PM",En proceso,En tránsito,Informativo,WPFI107475,Agencia 2,,,Medio,SI/NO
"Nov 12, 2025, 2:37:15 PM",Resuelto,En tránsito,Informativo,WPFI107280,Agencia 2,G-009,,Bajo,SI/NO
,En proceso,En tránsito,Modificación,WPFI108406,Agencia 2,"P-012, P-013",Kayak en Calafate,Medio,NO
"Nov 14, 2025, 6:53:48 PM",Resuelto,En tránsito,Cancelación,WPFI109561,Agencia 3,G-001,Trek Laguna de los Tres SIB ,Bajo,
"Nov 17, 2025, 11:06:07 AM",Pendiente,En tránsito,Informativo,WPFI109335,Agencia 2,,,Bajo,SI
"Nov 17, 2025, 11:19:06 AM",Pendiente,En tránsito,Cancelación,WPFI105372,Agencia 2,P-004,"Excursion Moreno Glacier, Boat Ride and Trek",Medio,NO
"Nov 17, 2025, 12:20:36 PM",En proceso,En tránsito,Cancelación,WPFI106054,Agencia 2,P-004,"Excursion Moreno Glacier, Boat Ride and Trek",Medio,NO
"Nov 17, 2025, 12:27:23 PM",En proceso,En tránsito,Cancelación,WPFI109771,Agencia 1,G-005,Trek Laguna Torre SIB,Medio,
"Nov 17, 2025, 12:35:40 PM",En proceso,En tránsito,Cancelación,WPFI108013,Agencia 9,G-005,Trek Laguna Torre SIB,Medio,
"Nov 17, 2025, 12:41:23 PM",En proceso,En tránsito,Cancelación,WPFI107082,Agencia 10,G-006,Trek Laguna Torre - Private guide,Medio,
"Nov 17, 2025, 12:50:42 PM",En proceso,En tránsito,Modificación,WPFI106170,Agencia 2,"P-001, P-016, G-011",Trek Laguna Torre - Private guide + 	Transfer El Chaltén/El Calafate - Private,Alto,NO
"Nov 17, 2025, 1:35:34 PM",Resuelto,En tránsito,Modificación,WPFI108119,Agencia 11,P-011,Transfer El Chaltén/El Calafate - Private,Medio,
"Nov 17, 2025, 1:59:45 PM",En proceso,En tránsito,Cancelación,WPFI104051,Agencia 4,"G-009, P-001",Trek Laguna de Los Tres - Private guide & private transport,Medio,
"Nov 17, 2025, 2:10:14 PM",En proceso,En tránsito,Modificación,WPFI109276,Agencia 3,G-010,Trek Laguna Torre - Private guide,Medio,
"Nov 17, 2025, 2:16:45 PM",En proceso,En tránsito,Cancelación,WPFI107677,Agencia 2,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,NO
"Nov 17, 2025, 2:23:58 PM",En proceso,En tránsito,Cancelación,WPFI109553,Agencia 13,G-004,Trek Mirador Torre - Private guide,Medio,
"Nov 17, 2025, 2:44:02 PM",Resuelto,En tránsito,Cancelación,WPFI109398,Agencia 12,"G-012, P-009",Trek Laguna Capri ,Medio,
"Nov 17, 2025, 2:47:36 PM",En proceso,En tránsito,Cancelación,WPFI108853,Agencia 14,P-014,Day Trip Vespignani - Boat ride & shared transport,Medio,
"Nov 18, 2025, 10:23:12 PM",Resuelto,En tránsito,Informativo,WPFI108397,Agencia 15,P-001,,Bajo,
"Nov 19, 2025, 4:13:17 PM",Resuelto,En tránsito,Cancelación,WPFI106782,Agencia 3,,,Bajo,
"Nov 20, 2025, 11:05:05 PM",Pendiente,En tránsito,Cancelación,WPFI109225,Agencia 5,,Trek Laguna de los Tres SIB ,Bajo,
"Nov 23, 2025, 4:46:15 PM",Resuelto,En tránsito,Cancelación,WPFI108720,Agencia 2,,,Bajo,SI
"Nov 24, 2025, 8:02:24 PM",Resuelto,En tránsito,Cancelación,WPFI108608,Agencia 2,,,Bajo,SI
"Nov 25, 2025, 6:42:14 PM",Pendiente,Post-viaje,Informativo,WPFI107760,Agencia 11,,,Bajo,
"Nov 25, 2025, 7:19:55 PM",En proceso,En tránsito,Modificación,WPFI109362,Agencia 11,,Trek Laguna de los Tres SIB ,Medio,
"Nov 26, 2025, 12:48:33 PM",En proceso,En tránsito,Modificación,WPFI108843,Agencia 5,"P-010, G-006, G-002",Trek Laguna de los Tres SIB ,Bajo,
"Nov 26, 2025, 1:18:47 PM",Resuelto,En tránsito,Modificación,WPFI105256,Agencia 2,"P-001, G-009",Trek Laguna de Los Tres - Private guide & private transport,Bajo,SI
"Nov 27, 2025, 10:29:46 PM",Pendiente,En tránsito,Cancelación,WPFI108113,Agencia 2,P-009,Box lunch,Bajo,SI
"Nov 30, 2025, 10:44:00 AM",Resuelto,En tránsito,Cancelación,WPFI107287,Agencia 2,"P-010, G-002",Trek Laguna de los Tres SIB ,Bajo,SI
"Nov 30, 2025, 5:35:42 PM",Resuelto,En tránsito,Informativo,WPFI107287,Agencia 2,,Trek Laguna de los Tres SIB ,Bajo,SI
